Strike Dip Rake Strike2 Dip2 Rake2 T
92.019 101.831 -132.957 14.437 44.249 -17.087 1676874862.936
-11.451 95.394 -138.700 263.270 48.922 -7.163 1676874870.908
102.277 94.589 112.405 181.295 22.847 11.891 1676874872.752
25.356 89.712 151.885 115.510 61.886 0.327 1676874919.440
102.323 84.596 176.843 192.620 86.857 5.412 1676874925.172
37.519 77.870 63.724 284.464 28.759 154.104 1676874962.536
32.142 96.676 98.490 84.232 10.786 38.406 1676875528.068
77.984 87.778 139.672 169.869 49.708 2.914 1676875545.064
35.560 97.276 -160.678 308.103 70.839 -7.705 1676875756.360
59.290 86.513 100.118 168.112 10.696 19.131 1676875909.276
84.141 85.229 47.451 348.964 42.765 172.964 1676876810.664
81.617 78.480 70.846 321.719 22.239 148.151 1676876852.892
87.992 96.870 147.251 173.592 57.515 8.152 1676876855.044
66.581 74.091 74.965 290.999 21.755 132.306 1676876884.976
74.470 73.210 65.232 312.419 29.622 144.238 1676876886.208
27.659 92.335 73.862 305.675 16.302 171.653 1676877013.428
31.496 96.175 168.892 120.286 78.957 6.292 1676877096.204
80.173 77.708 59.700 330.156 32.478 156.643 1676877100.076
21.861 92.644 72.594 300.232 17.600 171.224 1676877195.100
72.960 77.568 54.841 325.965 37.024 159.052 1676877245.996
89.689 81.674 64.713 342.647 26.536 161.087 1676877248.612
97.869 86.885 126.880 192.010 36.992 5.181 1676877250.632
63.718 83.790 136.026 159.677 46.349 8.598 1676877552.264
23.509 83.997 89.246 210.681 6.050 97.132 1676877623.112
92.215 82.200 38.666 356.017 51.757 170.049 1676878062.472
21.196 92.977 -171.113 291.661 81.125 -3.013 1676878200.160
60.110 84.515 159.722 152.132 69.818 5.845 1676878947.344
