X Y Z Strike Dip Rake T
0.225 -0.045 -1.190 0.000 60.000 90.000 1676874548.884
0.210 0.130 -0.995 105.000 30.000 -105.000 1676874673.736
0.160 0.065 -1.095 90.000 30.000 -90.000 1676874792.804
0.225 0.090 -1.240 240.000 45.000 -75.000 1676874860.740
0.085 0.080 -1.190 225.000 45.000 -75.000 1676874862.936
0.185 0.005 -1.050 45.000 45.000 75.000 1676874870.908
0.175 0.090 -1.165 105.000 30.000 -90.000 1676874872.752
0.225 -0.045 -1.155 165.000 30.000 90.000 1676874919.440
0.060 -0.055 -0.730 105.000 45.000 -90.000 1676874925.172
0.085 0.030 -1.090 240.000 45.000 105.000 1676874811.212
0.240 -0.060 -1.235 120.000 45.000 -105.000 1676874813.560
0.175 0.090 -1.165 120.000 30.000 90.000 1676874962.536
0.060 -0.020 -0.930 255.000 45.000 105.000 1676875545.064
0.160 0.105 -1.095 285.000 60.000 -90.000 1676875528.068
0.125 0.105 -1.275 30.000 45.000 75.000 1676875756.360
0.190 0.010 -1.065 75.000 45.000 -105.000 1676875909.276
0.185 0.015 -0.985 120.000 30.000 -90.000 1676876852.892
0.200 0.090 -1.165 300.000 60.000 -90.000 1676876855.044
0.165 0.130 -1.265 15.000 45.000 -105.000 1676876884.976
0.135 0.155 -0.930 135.000 30.000 -90.000 1676876886.208
0.190 0.130 -1.300 30.000 45.000 -105.000 1676876810.664
0.170 0.080 -1.000 0.000 45.000 -105.000 1676877013.428
0.200 0.025 -1.135 60.000 45.000 -105.000 1676877096.204
0.175 0.050 -1.130 30.000 45.000 -105.000 1676877100.076
0.170 0.080 -1.000 180.000 45.000 -75.000 1676877195.100
0.185 0.155 -1.025 105.000 30.000 -105.000 1676877245.996
0.135 0.155 -1.010 225.000 45.000 -75.000 1676877248.612
0.185 0.035 -0.975 105.000 30.000 90.000 1676877250.632
0.140 0.130 -1.250 105.000 30.000 -90.000 1676877552.264
0.180 0.050 -0.955 195.000 30.000 -75.000 1676877623.112
0.175 0.075 -1.130 75.000 45.000 -105.000 1676878062.472
0.120 -0.030 -0.870 330.000 60.000 -105.000 1676878200.160
0.175 0.015 -0.840 120.000 30.000 90.000 1676878947.344
