event_id,geom_strike_err,geom_dip_err,geom_rake_err,source_strike_err,source_dip_err,source_rake_err,delta_strike_geom_minus_source,delta_dip_geom_minus_source,delta_rake_geom_minus_source,delta_sum_geom_minus_source
ev_000000,3.1407835483551025,3.119422435760498,18.254947662353516,5.332907199859619,10.759671211242676,26.75372886657715,-2.1921236515045166,-7.640248775482178,-8.498781204223633,-18.331151962280273
ev_000001,3.63489031791687,2.4688875675201416,99.76586151123047,3.63489031791687,2.4688875675201416,99.76586151123047,0.0,0.0,0.0,0.0
ev_000002,5.765770435333252,2.7053513526916504,7.522294044494629,5.765770435333252,2.7053513526916504,7.522294044494629,0.0,0.0,0.0,0.0
ev_000003,4.587246417999268,2.9871742725372314,19.52519989013672,4.587246417999268,2.9871742725372314,19.52519989013672,0.0,0.0,0.0,0.0
ev_000004,18.8338680267334,1.0957190990447998,28.475265502929688,19.25040626525879,6.049814224243164,13.475265502929688,-0.4165382385253906,-4.954094886779785,15.0,9.62936782836914
ev_000005,4.559908390045166,5.249433994293213,5.491460800170898,1.2702126502990723,3.86214017868042,5.491460800170898,3.2896957397460938,1.387293815612793,0.0,4.676989555358887
ev_000006,13.923666000366211,0.09023754298686981,47.46473693847656,1.0763336420059204,0.09023754298686981,25.894004821777344,12.847332000732422,0.0,21.57073211669922,34.418067932128906
ev_000007,5.680331707000732,5.1701483726501465,8.797502517700195,5.680331707000732,5.1701483726501465,8.797502517700195,0.0,0.0,0.0,0.0
ev_000008,6.800290107727051,5.0171403884887695,101.11675262451172,6.800290107727051,5.0171403884887695,101.11675262451172,0.0,0.0,0.0,0.0
ev_000009,18.849605560302734,0.34090957045555115,28.888961791992188,19.266141891479492,4.613185405731201,13.888962745666504,-0.4165363311767578,-4.272275924682617,14.999999046325684,10.31118392944336
ev_000010,2.7941277027130127,6.837090969085693,11.214143753051758,3.283308982849121,2.9961249828338623,3.785856008529663,-0.4891812801361084,3.840965986251831,7.428287506103516,10.780073165893555
ev_000011,2.8116204738616943,4.752467155456543,6.833246231079102,2.8116204738616943,4.752467155456543,6.833246231079102,0.0,0.0,0.0,0.0
ev_000012,8.072486877441406,8.692934036254883,2.186401128768921,3.237445831298828,1.82671058177948,5.738322734832764,4.835041046142578,6.866223335266113,-3.5519216060638428,8.149343490600586
ev_000013,2.70015549659729,1.671187400817871,22.844757080078125,2.840554714202881,1.671187400817871,25.18048667907715,-0.14039921760559082,0.0,-2.3357295989990234,-2.4761295318603516
ev_000014,9.807652473449707,3.885544538497925,5.090434551239014,5.192348003387451,0.04457879438996315,9.909564971923828,4.615304470062256,3.840965747833252,-4.8191304206848145,3.6371402740478516
ev_000015,2.5236997604370117,4.7357964515686035,15.5354642868042,2.5236997604370117,4.7357964515686035,15.5354642868042,0.0,0.0,0.0,0.0
ev_000016,3.859985828399658,9.096261978149414,112.19123077392578,3.859985828399658,9.096261978149414,112.19123077392578,0.0,0.0,0.0,0.0
ev_000017,3.3481900691986084,1.9178599119186401,21.15108871459961,9.459686279296875,0.7969539761543274,14.649869918823242,-6.1114959716796875,1.120905876159668,6.501218795776367,1.510629653930664
ev_000018,10.289990425109863,1.7977513074874878,30.380416870117188,1.2750611305236816,1.2752635478973389,14.387444496154785,9.014928817749023,0.5224877595901489,15.992972373962402,25.5303897857666
ev_000019,3.1515274047851562,2.3081021308898926,8.753628730773926,0.538540244102478,2.032991647720337,7.5060038566589355,2.6129870414733887,0.27511048316955566,1.2476248741149902,4.135723114013672
ev_000020,6.506009101867676,0.863827109336853,12.709739685058594,6.001919269561768,1.3863149881362915,2.290260076522827,0.5040898323059082,-0.5224878787994385,10.419479370117188,10.401082038879395
